tSNE_Variables_1,tSNE_Variables_2,Neuron,Indegree,Group,Biplot
7.46827428581745,9.09169426877499,RIS,130,none,-0.0564464763024461
0.911084640975038,4.15233807956084,RMGL,115,none,-0.0597994147903357
0.911109972266143,4.15241217517093,RMGR,115,none,-0.0597994147903357
22.1484057522945,-22.6858444243094,AVFL,274,group2,0.0209857583862737
22.1487935175455,-22.6857098814155,AVFR,274,group2,0.0209857583862737
-2.45951478092123,13.6804849391411,AVG,54,none,0.0314078062447133
11.796326795947,10.1668776159141,AVHL,169,none,0.0298085214677829
11.7964428991278,10.1664615940614,AVHR,169,none,0.0298085214677829
2.20747699993807,12.8762326499862,AVJL,62,none,0.0247657897982206
2.20726289339482,12.8761701167768,AVJR,62,none,0.0247657897982206
17.9251248017308,-18.4378231476805,AVKL,267,group2,0.0363812077643905
17.9227528992975,-18.4379637802364,AVKR,267,group2,0.0363812077643905
-15.8862060432047,15.9647402669942,AVL,89,none,0.0259965166446072
-10.2358543438766,9.57514225835988,DVB,50,none,0.0826797826960141
-13.2923544053358,25.036188173023,DVC,94,none,0.0326999475409435
23.1763174765709,-17.5880222497613,PVNL,258,group2,0.0473549031869639
23.1766756229848,-17.5885181746694,PVNR,258,group2,0.0473549031869639
20.1694438248131,-17.3646942202941,PVPL,270,group2,0.0315738204947447
20.1693917962573,-17.3646220970809,PVPR,270,group2,0.0315738204947447
22.9895275610415,-11.8879389244337,PVQL,279,group2,0.0531522633411704
22.9903723752265,-11.888076817179,PVQR,279,group2,0.0531522633411704
22.9917056175113,-22.1307547858226,PVR,282,group2,0.0341416028811628
18.9592881643822,-6.19741320730232,PVT,287,group2,0.0386489242063923
-26.0808305907952,-5.19707598679585,PVWL,141,group1,0.0858452965403401
-26.0807194977527,-5.19713929308827,PVWR,141,group1,0.0858452965403401
20.4998059977285,-24.4265045642292,RID,264,group2,0.0395948963137664
21.5367022299983,-15.4516688045681,PVCL,272,group2,0.0232000041209076
21.537098732753,-15.4517829603393,PVCR,272,group2,0.0232000041209076
19.5092415842263,-5.9417136164302,AVAL,272,group2,0.0430254958430765
18.3644920541697,-5.94152990385336,AVAR,272,group2,0.0430254958430765
15.8678674356097,-14.8274224196892,AVBL,258,group2,0.0334645543178238
15.8678674356097,-14.8274224196892,AVBR,258,group2,0.0334645543178238
20.7550358834066,-28.2934682182049,AVDL,268,group2,0.0204301621290281
21.2267720479571,-28.147920339952,AVDR,268,group2,0.0204301621290281
15.6729648002673,-9.94238972445462,AVEL,256,group2,0.0145027969012242
15.6729368184473,-9.9423658801104,AVER,256,group2,0.0145027969012242
-14.3876015621354,19.2628393235674,LUAL,32,none,0.0396614883529505
-14.3875379841692,19.2627692090846,LUAR,32,none,0.0396614883529505
2.44593490834522,19.1550271866964,SAADL,38,none,-0.0587773504869568
2.69469510722878,18.7404360530132,SAADR,38,none,-0.0587773504869568
3.09273969470432,20.1362620315303,SAAVL,43,none,0.0274651359442018
3.41855571490259,19.204257587677,SAAVR,43,none,0.0274651359442018
12.7743067917702,-17.3897474457536,SABD,208,group3,-0.0649263529812713
12.8648142894638,-17.2905476598059,SABVL,208,group3,-0.0649263529812713
12.6095684349126,-17.4323455687153,SABVR,208,group3,-0.0649263529812713
12.5054625769911,-12.0161943766135,RIML,204,group3,-0.0640915435383745
12.5052453894967,-12.0161916096966,RIMR,204,group3,-0.0640915435383745
-7.33836643744655,20.3829455808311,IL1DL,0,none,-0.0590526408640067
-8.00000235767481,20.4715097314152,IL1DR,0,none,-0.0590526408640067
-5.9904160468058,20.311900750121,IL1L,0,none,-0.0590526408640067
-7.09616464853477,21.0592956481766,IL1R,0,none,-0.0590526408640067
-6.68650415058428,20.0986724776374,IL1VL,0,none,-0.0590526408640067
-6.33818080713248,21.1505527923719,IL1VR,0,none,-0.0590526408640067
-5.21758285663868,9.03763367845344,SIADL,68,none,0.0316506866322429
-5.09441347090802,8.3998867446166,SIADR,68,none,0.0316506866322429
-4.84195411916666,8.82042610669038,SIAVL,68,none,0.0316506866322429
-5.46206178812323,8.62770021478128,SIAVR,68,none,0.0316506866322429
-0.396402829317987,23.0471366650321,SIBDL,73,none,0.0352604966528413
-0.100674431436344,23.4150920091643,SIBDR,73,none,0.0352604966528413
-0.449269956211889,23.6961874756277,SIBVL,73,none,0.0352604966528413
-0.73606209144007,23.3227780220672,SIBVR,73,none,0.0352604966528413
10.8673766315781,-19.6338509196435,RMDDL,198,group3,-0.0553526703092382
10.7204421812983,-20.2553761100232,RMDDR,198,group3,-0.0553526703092382
9.18026179698666,-11.3944245538631,RMDL,183,group3,-0.0664450873031344
9.18025447577941,-11.3943651920217,RMDR,183,group3,-0.0664450873031344
11.3422585257045,-19.6314889374118,RMDVL,198,group3,-0.0553526703092382
11.112652570796,-20.4909759630198,RMDVR,198,group3,-0.0553526703092382
16.1328821412817,-15.7611984776051,RMED,257,group2,0.0351975835900008
-6.59024973005484,23.7584636665626,RMEL,16,none,-0
-6.59024973005763,23.7584636665632,RMER,16,none,-0
16.1328821412817,-15.7611984776051,RMEV,257,group2,0.0351975835900008
9.35863351066485,-6.28895666447197,RMFL,186,group3,-0.065319171305743
9.35850773614965,-6.28898823214757,RMFR,186,group3,-0.065319171305743
12.2904282013446,-13.8348288879471,RMHL,199,group3,-0.0638708662145712
12.2901794515084,-13.834835781541,RMHR,199,group3,-0.0638708662145712
-3.83410928385442,15.4710667214067,RIVL,54,none,-0.0634402744635397
-3.83414814263252,15.4709562372698,RIVR,54,none,-0.0634402744635397
6.60580260409139,20.5781987673757,SMBDL,74,none,0.0517208661328378
6.1777897204311,20.4254189634062,SMBDR,74,none,0.0517208661328378
6.00504311348501,20.9137596849202,SMBVL,74,none,0.0517208661328378
6.43752071837833,21.0550878611951,SMBVR,74,none,0.0517208661328378
21.3534423342297,-25.0760043263327,SMDDL,260,group2,0.0294575448286702
22.048095796888,-25.0003476785053,SMDDR,260,group2,0.0294575448286702
21.9746705843339,-25.4319378801648,SMDVL,260,group2,0.0294575448286702
21.551349355358,-24.6893101145112,SMDVR,260,group2,0.0294575448286702
6.79681292469892,7.80972266290352,URADL,104,none,-0.0402075603807527
6.75219706191545,7.62251862520261,URADR,104,none,-0.0402075603807527
7.12485216264872,7.53489356147622,URAVL,104,none,-0.0402075603807527
7.17913981916893,7.70674280724039,URAVR,104,none,-0.0402075603807527
19.4771376011303,-27.0454238643538,DA01,274,group2,0.0361194932397849
19.6716390919305,-26.2166460708542,DA02,274,group2,0.0361194932397849
19.9656872424653,-26.8239965698724,DA03,274,group2,0.0361194932397849
19.196899398168,-26.44000926783,DA04,274,group2,0.0361194932397849
-27.9931521242245,-9.86369598784788,DA05,139,group1,0.088986770682382
-26.5370117498711,-10.6156615608987,DA06,139,group1,0.088986770682382
-27.3360226184943,-10.3366106745344,DA07,139,group1,0.088986770682382
-29.121830227126,-8.75719583951724,DA08,145,group1,0.0891026491637842
-21.3970339174101,-9.83535973863996,DA09,156,group1,0.0920216815190609
-25.5124954474357,-3.04510479811452,PDA,141,group1,0.0882955456183354
21.3267222506045,-26.5830191960153,DB01,270,group2,0.0389206744374105
20.8862339358389,-25.991843708414,DB02,264,group2,0.0369120845408584
-28.8641552715102,-11.5598221630004,DB03,139,group1,0.0894111873421434
-27.9638239157103,-11.3760948934241,DB04,139,group1,0.0894111873421434
-28.3212987042702,-10.8106931817296,DB05,139,group1,0.0894111873421434
-29.0836418283042,-10.5913605950136,DB06,139,group1,0.0894111873421434
-29.7508538912118,-11.1960157137771,DB07,139,group1,0.0894111873421434
17.2802546968845,-15.6729982798398,AS01,261,group2,-0.001277747741351
17.2802546968845,-15.6729982798398,AS02,261,group2,-0.001277747741351
-22.4294175393084,-0.518459409280549,AS03,134,group1,0.0232037494456522
-23.0845165366226,-0.948656498131557,AS04,134,group1,0.0232037494456522
-23.2716858696109,-1.61363663973461,AS05,134,group1,0.0232037494456522
-23.8250760138506,-1.48030325617459,AS06,134,group1,0.0232037494456522
-22.5811877436338,-1.50883165429615,AS07,134,group1,0.0232037494456522
-22.0131962597495,-1.21559785775687,AS08,134,group1,0.0232037494456522
-23.9038535100496,-0.682931089449492,AS09,134,group1,0.0232037494456522
-23.2476909643605,-0.263566044873612,AS10,134,group1,0.0232037494456522
-24.881276037234,-1.44827721091836,AS11,140,group1,0.0232037494456522
-29.7373720372063,-9.02563401552257,PDB,145,group1,0.0781923127461932
-13.989992630983,14.7701370795424,DD01,42,none,0.0242932546233209
-9.317601502628,15.299000232341,DD02,14,none,0.0833840771301291
-10.2079755601669,15.5213168155315,DD03,14,none,0.0833840771301291
-8.21310048347064,14.5316488853679,DD04,14,none,0.0833840771301291
-9.57600318911626,16.1975261822851,DD05,14,none,0.0833840771301291
-7.13327980686925,14.3166657172417,DD06,14,none,0.0835606111207636
19.307931275993,-13.861156943702,VA01,269,group2,0.0284287493803896
19.3625098373706,-14.3259831398254,VA02,269,group2,0.0284287493803896
18.836650204537,-13.9079139177811,VA03,269,group2,0.0284287493803896
18.9457273748777,-14.3509881979843,VA04,269,group2,0.0284287493803896
-22.5544218104282,-2.84017782273226,VA05,134,group1,0.0836332515177073
-21.8348775940771,-2.77558882654047,VA06,134,group1,0.0836332515177073
-23.5113248371018,-3.70233554624804,VA07,134,group1,0.0836332515177073
-22.7960243753869,-3.89083026713633,VA08,134,group1,0.0836332515177073
-22.1181351931816,-3.56472143328611,VA09,134,group1,0.0836332515177073
-23.7827142758973,-2.96132859452863,VA10,134,group1,0.0836332515177073
-23.1152438962794,-2.94000135859881,VA11,134,group1,0.0836332515177073
-28.3390679249392,-3.69170116481941,VA12,147,group1,0.0918744939267416
17.8243022576979,-16.4045762572131,VB01,265,group2,0.0311047774662332
19.2261553693438,-16.0890482333014,VB02,267,group2,0.0341426717546237
-27.4339766193406,-13.1261025786777,VB03,139,group1,0.0863596501112091
-27.2516374545982,-11.4980551739201,VB04,139,group1,0.0863596501112091
-28.4366243931526,-12.2196994116793,VB05,139,group1,0.0863596501112091
-29.624106090074,-12.1562756881912,VB06,139,group1,0.0863596501112091
-27.6804014244123,-12.2308440079918,VB07,139,group1,0.0863596501112091
-26.4275152547616,-11.7265004900772,VB08,139,group1,0.0863596501112091
-28.3021536912864,-13.1962674010126,VB09,139,group1,0.0863596501112091
-26.7469413506959,-12.5500302047033,VB10,139,group1,0.0863596501112091
-29.1186742656433,-12.865156870686,VB11,139,group1,0.0863596501112091
-14.0609978283255,14.6650320870573,VD01,42,none,0.0242932546233209
-14.1505770248436,14.5768194813992,VD02,42,none,0.0242932546233209
-9.59788609013114,13.9209109860214,VD03,14,none,0.0833840771301291
-7.26832412005721,15.9593815974326,VD04,14,none,0.0833840771301291
-8.80261974918653,16.2391549887046,VD05,14,none,0.0833840771301291
-8.52896537253567,15.4007580834154,VD06,14,none,0.0833840771301291
-8.03871806180448,16.162514965447,VD07,14,none,0.0833840771301291
-10.1433481084431,14.6317097650484,VD08,14,none,0.0833840771301291
-8.71775657247984,13.6532387176263,VD09,14,none,0.0833840771301291
-9.01196194401222,14.6084526551693,VD10,14,none,0.0833840771301291
-6.84483710876163,15.1703193751749,VD11,14,none,0.0833840771301291
-7.77843252148478,15.1552326961805,VD12,14,none,0.0835606111207636
-7.80207139030173,13.724916910976,VD13,14,none,0.0835606111207636
19.1525079964069,-23.9793578608188,HSNL,264,group2,0.0373877557925814
19.1523889991027,-23.9793446657377,HSNR,264,group2,0.0373877557925814
5.01916168237987,10.0533070426192,VC01,158,none,0.0315942088638817
5.01950115288677,10.0535932783823,VC02,158,none,0.0315942088638817
-8.51553884098144,10.2135531055535,VC03,65,none,0.0912246734455455
-10.9422457977361,10.2389586885667,VC04,51,none,0.0893575405205896
-10.942395609203,10.2389838420725,VC05,51,none,0.0893575405205896
-8.51569690642195,10.2135155152066,VC06,65,none,0.0912246734455455
