Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"VA05",93,101,194,43,22,65,34,13,47
"VA06",93,101,194,43,22,65,34,13,47
"VA07",93,101,194,43,22,65,34,13,47
"VA08",93,101,194,43,22,65,34,13,47
"VA09",93,101,194,43,22,65,34,13,47
"VA10",93,101,194,43,22,65,34,13,47
"VA11",93,101,194,43,22,65,34,13,47
"VA12",62,121,183,34,46,80,27,36,63
"VB01",15,20,35,15,20,35,11,16,27
"VB02",53,129,182,49,129,178,34,95,129
"VB03",53,136,189,24,80,104,20,66,86
"VB04",53,136,189,24,80,104,20,66,86
"VB05",53,136,189,24,80,104,20,66,86
"VB06",53,136,189,24,80,104,20,66,86
"VB07",53,136,189,24,80,104,20,66,86
"VB08",53,136,189,24,80,104,20,66,86
"VB09",53,136,189,24,80,104,20,66,86
"VB10",53,136,189,24,80,104,20,66,86
"VB11",53,136,189,24,80,104,20,66,86
"VD01",62,42,104,60,42,102,34,21,55
"VD02",62,42,104,60,42,102,34,21,55
"VD03",62,42,104,30,14,44,26,6,32
"VD04",62,42,104,30,14,44,26,6,32
"VD05",62,42,104,30,14,44,26,6,32
"VD06",62,42,104,30,14,44,26,6,32
"VD07",62,42,104,30,14,44,26,6,32
"VD08",62,42,104,30,14,44,26,6,32
"VD09",62,42,104,30,14,44,26,6,32
"VD10",62,42,104,30,14,44,26,6,32
"VD11",62,42,104,30,14,44,26,6,32
"VD12",62,42,104,34,14,48,28,6,34
"VD13",62,42,104,34,14,48,28,6,34
"HSNL",56,64,120,54,62,116,44,48,92
"HSNR",56,64,120,54,62,116,44,48,92
"VC01",62,104,166,60,104,164,33,58,91
"VC02",62,104,166,60,104,164,33,58,91
"VC03",62,104,166,30,34,64,25,25,50
"VC04",0,0,0,0,0,0,0,0,0
"VC05",0,0,0,0,0,0,0,0,0
"VC06",62,104,166,30,34,64,25,25,50
